code,iso,country,slope,pct_slope_per_year,r2,start,end,delta,cluster_id,trend_label
8,ALB,Albania,-1.8944024177962768,-0.04168330042434533,0.20290060558252032,100.0,41.1740797707465,-58.8259202292535,1,Decreasing
51,ARM,Armenia,-1.5634747142561305,-0.033772534792681365,0.5287289393026227,72.7265609745007,39.285178583351,-33.4413823911497,1,Decreasing
31,AZE,Azerbaijan,-0.9819060026261779,-0.017934308942316304,0.43893687124434333,60.4165299687671,42.4122549539634,-18.004275014803703,1,Decreasing
44,BHS,Bahamas,-1.9122771814604207,-0.039319229293745706,0.8817056590492616,66.3024085928566,24.1125064376648,-42.189902155191795,1,Decreasing
72,BWA,Botswana,-1.115249384679628,-0.03069151721514702,0.3794327430570864,45.8166739972971,10.714228879245,-35.1024451180521,1,Decreasing
96,BRN,Brunei Darussalam,-2.429403248823788,-0.05186129236868573,0.45611968800858327,82.5454559271234,43.9689181174113,-38.5765378097121,1,Decreasing
108,BDI,Burundi,-2.1792520564019586,-0.050762869560338805,0.4297680527670146,46.8211705571286,4.33630966176663,-42.484860895361976,1,Decreasing
116,KHM,Cambodia,-0.8616609710413448,-0.05743695703563879,0.5808603712871665,23.5140833214819,11.7174729336162,-11.796610387865698,1,Decreasing
170,COL,Colombia,-1.3267088845468724,-0.027133620972143193,0.5879063018843236,55.7976802735473,39.1159200721299,-16.681760201417397,1,Decreasing
192,CUB,Cuba,-1.9467524495515405,-0.034397848805738276,0.7082399871193672,80.8607070301964,49.003925034611,-31.856781995585393,1,Decreasing
180,COD,Dem. Rep. Congo,-2.226992877834708,-0.051118686672126774,0.7927026404017491,62.0486369708554,25.9210260282173,-36.1276109426381,1,Decreasing
262,DJI,Djibouti,-1.2751696280635434,-0.03391932879259794,0.8460680684389503,52.8071160129422,23.8382943656483,-28.968821647293904,1,Decreasing
232,ERI,Eritrea,-2.786333916356037,-0.04094522632382586,0.7891154159945657,90.9877005633514,29.4943234283576,-61.49337713499379,1,Decreasing
233,EST,Estonia,-2.091499636684694,-0.03283594767059267,0.7931009304324033,88.1404216906077,47.4705557603516,-40.669865930256094,1,Decreasing
231,ETH,Ethiopia,-2.0651492170791146,-0.09401470269826032,0.7292881541549221,52.5654276974855,1.47689521913064,-51.08853247835486,1,Decreasing
270,GMB,Gambia,-0.7459242588395228,-0.024587856147952992,0.7697524543461793,41.6258653082354,24.0455402393724,-17.580325068862997,1,Decreasing
268,GEO,Georgia,-3.2539820851127517,-0.06285084209663387,0.6773768858161333,93.0722588814348,35.8629729056604,-57.20928597577441,1,Decreasing
276,DEU,Germany,-0.517891169888768,-0.007740009232308524,0.6017994041670672,75.8361105030718,60.6396061200727,-15.196504382999095,1,Decreasing
624,GNB,Guinea-Bissau,-1.3769611539069095,-0.03246444330101962,0.6246742985957007,51.2159093526663,24.519892116598,-26.6960172360683,1,Decreasing
417,KGZ,Kyrgyzstan,-2.1268354371566214,-0.04602301411523408,0.641873319433542,63.8638023967915,34.065688754815,-29.7981136419765,1,Decreasing
428,LVA,Latvia,-1.9904416315377451,-0.026990152677439497,0.5153676817094176,100.0,65.8458192096228,-34.1541807903772,1,Decreasing
430,LBR,Liberia,-1.3047278781790583,-0.04268378595346675,0.6635969927903633,38.2753012262383,6.87291669874466,-31.402384527493638,1,Decreasing
440,LTU,Lithuania,-1.4785075605845757,-0.022446122083566517,0.6353838603202441,82.227222716252,55.1866771236723,-27.040545592579704,1,Decreasing
478,MRT,Mauritania,-1.1631249338721477,-0.04042306549112556,0.7034920802647507,41.0908102562307,21.5432509900272,-19.547559266203496,1,Decreasing
498,MDA,Moldova,-2.9815767374556166,-0.04197710484505684,0.750958882887635,100.0,43.0242889729174,-56.9757110270826,1,Decreasing
496,MNG,Mongolia,-4.372034510914448,-0.11305426039406584,0.8750732127220974,86.9568058592008,7.66446758289122,-79.29233827630958,1,Decreasing
508,MOZ,Mozambique,-1.7971835737951765,-0.11083574301179722,0.5289481587535068,46.5804634295963,0.0,-46.5804634295963,1,Decreasing
562,NER,Niger,-2.3916564349821536,-0.06949781312375185,0.3889484544190517,35.0147980172545,2.03716971263152,-32.97762830462298,1,Decreasing
616,POL,Poland,-0.9526433234261112,-0.014154881145540999,0.5711660788150272,77.9952493091004,61.0055402899801,-16.989709019120305,1,Decreasing
178,COG,Republic of Congo,-3.9932612421461853,-0.09634387014529221,0.5912961593910169,62.0314858426701,8.27052075669242,-53.76096508597768,1,Decreasing
646,RWA,Rwanda,-1.9117264673716257,-0.04549828924334968,0.789438466036171,57.4837330154482,14.1698030599463,-43.313929955501905,1,Decreasing
678,STP,Sao Tome and Principe,-1.4332551160964753,-0.0418282126622536,0.5132921612663062,56.2891192118667,27.263825456591,-29.025293755275698,1,Decreasing
682,SAU,Saudi Arabia,-1.5089661142794222,-0.04071699019862602,0.3929804996775563,61.896366580857,32.8331503057633,-29.0632162750937,1,Decreasing
686,SEN,Senegal,-1.860583973557966,-0.05477688005973011,0.7881213601025588,53.7918573660518,15.0139011156178,-38.777956250434,1,Decreasing
694,SLE,Sierra Leone,-2.423543352447371,-0.07448935154758204,0.8022526176953367,60.4092345061557,7.86741044513651,-52.541824061019184,1,Decreasing
702,SGP,Singapore,-1.8940197174406128,-0.03740925015821285,0.24028801306439007,49.3742092932949,28.6542934011205,-20.719915892174402,1,Decreasing
90,SLB,Solomon Islands,-0.6473177892723134,-0.013824087592694706,0.7933790363594913,55.7933942535381,41.8918607558943,-13.901533497643797,1,Decreasing
